concurso,data,n1,n2,n3,n4,n5
5650,30/03/2022,32463,65395,46507,33279,26223
5649,26/03/2022,6542,88785,35329,89385,47882
5648,23/03/2022,59598,76678,10191,13741,21848
5647,19/03/2022,82051,29674,85998,31163,26990
5646,16/03/2022,22415,65838,33799,34387,9414
5645,12/03/2022,58676,9374,33251,30407,27517
5644,09/03/2022,98404,16366,20988,47878,50068
5643,05/03/2022,87256,43504,64697,67716,43527
5642,26/02/2022,21973,90155,25810,47756,52484
5641,23/02/2022,18524,57300,1879,36179,94935
5640,19/02/2022,32646,89312,79044,12271,37159
5639,16/02/2022,49005,18351,18218,75113,70050
5638,12/02/2022,57951,22106,58855,74625,19265
5637,09/02/2022,23992,58569,42270,32796,70298
5636,05/02/2022,11226,69847,82900,54450,27744
5635,02/02/2022,59260,36120,25950,80892,86307
5634,29/01/2022,8107,68157,84994,59094,99841
5633,26/01/2022,96915,80005,95741,13860,62096
5632,22/01/2022,85987,99266,19189,20274,64600
5631,19/01/2022,5146,24987,12868,5248,87771
5630,15/01/2022,32255,52523,67782,75953,37
5629,12/01/2022,84241,55609,226,59048,25273
5628,08/01/2022,99210,68040,28757,12263,18080
5627,05/01/2022,32235,44219,87786,8033,60030
5626,31/12/2021,25053,29754,80014,72820,50316
5625,24/12/2021,78158,75563,48743,77843,37004
5624,22/12/2021,86447,26701,28242,3477,66757
5623,18/12/2021,10118,12148,43499,46306,36650
5622,15/12/2021,75454,81461,19900,64895,3288
5621,11/12/2021,83519,25194,81431,75656,94492
5620,08/12/2021,72929,55705,30467,96151,38411
5619,04/12/2021,1498,15904,84856,72834,7754
5618,01/12/2021,18759,36362,87278,69734,16422
5617,27/11/2021,39615,56949,14270,71716,36928
5616,24/11/2021,65194,8061,4801,88102,73199
5615,20/11/2021,14162,12625,67605,67963,99802
5614,13/11/2021,41990,89203,14541,7325,12753
5613,10/11/2021,13056,43376,16047,7647,44572
5612,06/11/2021,43160,69846,99002,71421,33225

5611,03/11/2021,42431,86576,1058,68349,18788
5610,30/10/2021,51273,46972,83641,55412,54371
5609,27/10/2021,34429,16928,94185,25833,90717
5608,23/10/2021,85559,49025,37505,39090,31850
5607,20/10/2021,37435,62943,2536,65819,75401
5606,16/10/2021,79603,1954,72366,64047,19710
5605,13/10/2021,42131,39559,54654,31825,9071
5604,09/10/2021,9695,8925,51250,19327,51017
5603,06/10/2021,74605,31751,49959,23181,80753
5602,02/10/2021,45469,66903,87788,10080,81813
5601,29/09/2021,81680,54199,49952,84070,874
5600,25/09/2021,38212,52377,31955,13989,25054
5599,22/09/2021,93201,2135,82089,24760,18606
5598,18/09/2021,20684,38300,15136,35151,45196
5597,15/09/2021,76701,20931,46068,21764,34173
5596,11/09/2021,50502,10883,12767,49930,81384
5595,08/09/2021,80905,82006,56251,53050,41744
5594,04/09/2021,69653,44548,43626,82338,13754
5593,01/09/2021,99708,63644,19942,26657,83810
5592,28/08/2021,44183,91219,66463,17672,84923
5591,25/08/2021,32940,16923,59012,44212,72116
5590,21/08/2021,5331,55160,98595,20520,5386
5589,18/08/2021,1323,14278,268,99367,16400
5588,14/08/2021,47071,10682,24044,78909,61526
5587,11/08/2021,75038,55175,3489,32883,1249
5586,07/08/2021,16035,11915,2429,62173,36408
5585,04/08/2021,20940,77276,81785,84809,49962
5584,31/07/2021,83611,13566,5293,43792,53873
5583,28/07/2021,46270,73202,59463,85128,70504
5582,24/07/2021,15989,51258,66188,80860,45732
5581,21/07/2021,66637,32209,23558,69698,13970
5580,17/07/2021,38690,494,57903,65748,16757
5579,14/07/2021,74734,23927,7535,97841,40481
5578,10/07/2021,47913,93065,16991,25979,69673
5577,07/07/2021,85679,77152,82207,31997,72961
5576,03/07/2021,11004,54926,63047,95007,23098
5575,30/06/2021,32037,85545,1268,94664,96259
5574,26/06/2021,27751,59180,54129,29305,25013
5573,23/06/2021,10745,22747,15741,98827,99655
5572,19/06/2021,22239,19891,35089,83263,67074
